fyear,cik
2014,1059784
2015,1059784
2016,1059784
2017,1059784
2018,1059784
2019,1059784
2020,1059784
2009,1060426
2010,1060426
2011,1060426
2017,1060736
2018,1060736
2009,1061983
2010,1061983
2011,1061983
2015,1061983
2009,1068796
2010,1068796
2020,1069308
2021,1069308
2022,1069308
2023,1069530
2017,1070081
2021,1070081
2022,1070081
2023,1070081
2020,1070494
2010,1072379
2011,1072379
2012,1072379
2013,1072379
2014,1072379
2015,1072379
2016,1072379
2017,1072379
2018,1072379
2019,1072379
2020,1072379
2021,1072379
2022,1072379
2023,1072379
2009,1073431
2010,1073431
2011,1073431
2012,1073431
2014,1075880
2015,1075880
2015,1076682
2016,1076682
2017,1076682
2018,1076682
2021,1076682
2022,1076682
2013,1076939
2009,1080709
2010,1080709
2011,1080709
2012,1080709
2013,1080709
2014,1080709
2015,1080709
2020,1081938
2021,1081938
2022,1081938
2023,1081938
2023,1082038
2009,1082554
2010,1082554
2011,1082554
2012,1082554
2014,1082554
2011,1087432
2012,1087432
2013,1087432
2010,1090514
2014,1091326
2009,1091596
2010,1091596
2011,1091596
2012,1091596
2013,1091596
2014,1091596
2015,1091596
2016,1091596
2010,1094038
2011,1094038
2012,1094038
2013,1094038
2014,1094038
2015,1094038
2016,1094038
2017,1094038
2018,1094038
2019,1094038
2020,1094038
2016,1095435
2017,1095435
2018,1095435
2019,1095435
2020,1095435
2021,1095435
2022,1095435
2023,1095435
2009,1095981
2009,1098972
2010,1098972
2011,1098972
2022,1100397
2010,1100412
2011,1100412
2012,1100412
2012,1101026
2013,1101026
2014,1101026
2015,1101026
2009,1103021
2010,1103021
2011,1103021
2012,1103021
2013,1103021
2014,1103021
2015,1103021
2016,1103021
2022,1104506
2023,1104506
2013,1105533
2014,1105533
2010,1106644
2011,1106644
2012,1106644
2012,1107332
2013,1107332
2009,1107421
2010,1107421
2011,1107421
2012,1107421
2013,1107421
2016,1107421
2017,1107421
2018,1107421
2019,1107421
2020,1107421
2009,1108205
2010,1108205
2011,1108205
2012,1108205
2013,1108205
